X,Y,SITENUMBER,RIVER,SITENAME,SITE,TIM_CHCH,TELEMETERED,COMPLIANCE_MONITORING,FLOOD_CONTROL,LAST_SAMPLE,LAST_HOUR,RAIN_TODAY,RAIN_1_DAY_AGO,RAIN_2_DAYS_AGO,RAIN_3_DAYS_AGO,RAIN_4_DAYS_AGO,RAIN_5_DAYS_AGO,RAIN_6_DAYS_AGO,RAIN_7_DAYS_AGO,TOTAL_RAINFALL,ALTITUDE,NZMGX,NZMGY,NZMS260,NZTMX,NZTMY,NZTOPO50,OBJECTID
1579310.7214,5348487.9442,220710,UPPER TRAVERS HUT,UPPER TRAVERS HUT,UPPER TRAVERS HUT AT UPPER TRAVERS HUT,,N,,N,,,,,,,,,,,,1292,2489299,5910159,M30:89299-10159,1579310,5348487,BS24:7931-4848,3416424
1569672.4762,5337353.0505,221610,MINIKIN PLATEAU,MINIKIN PLATEAU,MINIKIN PLATEAU AT MINIKIN PLATEAU,,N,,N,,,,,,,,,,,,1509,2479659,5899019,M30:79659-99019,1569672,5337353,BS24:6967-3735,3416425
1572481.2611,5335583.2577,221611,TIMS FLAT,TIMS FLAT,TIMS FLAT AT TIMS FLAT,,N,,N,,,,,,,,,,,,991,2482469,5897249,M30:82469-97249,1572481,5335583,BS24:7248-3558,3416426
1571091.4744,5333694.091,221612,BUSHLINE KNOB,BUSHLINE KNOB,BUSHLINE KNOB AT BUSHLINE KNOB,,N,,N,,,,,,,,,,,,1372,2481079,5895359,M30:81079-95359,1571091,5333694,BT24:7109-3369,3416427
1571091.4744,5333694.091,221613,CAROLINE BIVVY,CAROLINE BIVVY,CAROLINE BIVVY AT CAROLINE BIVVY,,N,,N,,,,,,,,,,,,899,2481079,5895359,M30:81079-95359,1571091,5333694,BT24:7109-3369,3416428
1569691.691,5331804.9256,221614,RAZOR BACK,RAZOR BACK,RAZOR BACK AT RAZOR BACK,,N,,N,,,,,,,,,,,,1753,2479679,5893469,M30:79679-93469,1569691,5331804,BT24:6969-3180,3416429
1572500.7265,5331814.529,221615,OMUNDRELL CLEARING,OMUNDRELL CLEARING,OMUNDRELL CLEARING AT OMUNDRELL CLEARING,,N,,N,,,,,,,,,,,,1280,2482489,5893479,M30:82489-93479,1572500,5331814,BT24:7250-3181,3416430
1573820.2725,5331814.345,221616,ST JAMES,ST JAMES,ST JAMES AT ST JAMES,,N,,N,,,,,,,,,,,,1676,2483809,5893479,M30:83809-93479,1573820,5331814,BT24:7382-3181,3416431
1594472.9162,5330092.1052,221901,TARNDALE,TARNDALE,TARNDALE AT TARNDALE,,N,,N,,,,,,,,,,,,991,2504469,5891759,N30:04469-91759,1594472,5330092,BT25:9447-3009,3416432
1593144.698,5339299.1895,221903,WAIRAU GORGE,WAIRAU GORGE,WAIRAU GORGE AT WAIRAU GORGE,,N,,N,,,,,,,,,,,,1036,2503139,5900969,N30:03139-00969,1593144,5339299,BS25:9314-3929,3416433
1571496.1919,5325513.792,222610,WAIAU UWHA,MALINGS PASS,WAIAU UWHA AT MALINGS PASS,C,T,O,N,2021/09/24 04:00:00+00,0,0,1,7.5,8,1.5,0.5,0,0,18.5,832,2481485,5887176,M31:81485-87176,1571496,5325513,BT24:7149-2551,3416434
1579367.5947,5326285.4393,222701,LAKE TENNYSON,LAKE TENNYSON,LAKE TENNYSON AT LAKE TENNYSON,,N,,N,,,,,,,,,,,,1109,2489359,5887949,M31:89359-87949,1579367,5326285,BT24:7936-2628,3416435
1572047.3981,5328348.7609,222711,WAIAU UWHA,MORAINE CLEARING,WAIAU UWHA AT MORAINE CLEARING,C,N,O,N,,,,,,,,,,,,828,2482036,5890012,M30:82036-90012,1572047,5328348,BT24:7204-2834,3416436
1545096.5946,5307666.4178,223301,MARUIA SPRINGS,MARUIA SPRINGS,MARUIA SPRINGS AT MARUIA SPRINGS,,N,,N,,,,,,,,,,,,607,2455079,5869319,M31:55079-69319,1545096,5307666,BT23:4509-0766,3416437
1545086.8564,5309445.8499,223302,SNOLINE SPA HOTEL,SNOLINE SPA HOTEL,SNOLINE SPA HOTEL AT SNOLINE SPA HOTEL,,N,,N,,,,,,,,,,,,590,2455069,5871099,M31:55069-71099,1545086,5309445,BT23:4508-0944,3416438
1550617.7903,5307712.6118,223401,LEWIS PASS,LEWIS PASS,LEWIS PASS AT LEWIS PASS,,N,,N,,,,,,,,,,,,911,2460602,5869366,M31:60602-69366,1550617,5307712,BT23:5061-0771,3416439
1550614.7903,5307705.6145,223402,LEWIS PASS RESERVE,LEWIS PASS RESERVE,LEWIS PASS RESERVE AT LEWIS PASS RESERVE,,N,,N,,,,,,,,,,,,890,2460599,5869359,M31:60599-69359,1550614,5307705,BT23:5061-0770,3416440
1556074.2817,5316961.8251,223403,ADA PASS,ADA PASS,ADA PASS AT ADA PASS,,N,,N,,,,,,,,,,,,,2466059,5878619,M31:66059-78619,1556074,5316961,BT23:5607-1696,3416441
